N;trait_mean;trait_var;age_MY;tsID;age_MY_min;age_MY_max
16;0.437400891118323;0.00069499108210188;0,548;1332;0.533;0.563
2;0.406779349945846;4.13160067715047e-06;2,1895;1332;2.088;2.291
160;0.337799273809557;0.000756698760072661;0;1333;0;0
31;0.358320204926187;0.00056138725471665;0,0045;1333;0.003;0.006
1;0.401498885634335;0;0,451;1333;0.424;0.478
2;0.33490946636181;0.000189780115314826;0,5055;1333;0.478;0.533
16;0.34936707483632;0.000591869768628148;0,548;1333;0.533;0.563
2;0.327698671569057;0.0003029482571673;2,1895;1333;2.088;2.291
160;8.74006482019242;0.0476101797344999;0;1334;0;0
31;8.7679545012432;0.056650997842688;0,0045;1334;0.003;0.006
1;8.74497357020138;0;0,451;1334;0.424;0.478
2;8.85968870046529;0.0687287332702253;0,5055;1334;0.478;0.533
16;8.82440882737471;0.0280688551132364;0,548;1334;0.533;0.563
2;8.65671125638288;0.0155535232325047;2,1895;1334;2.088;2.291
160;0.111634549407763;0.000202691403995008;0;1335;0;0
31;0.113141703442844;0.000148257362030793;0,0045;1335;0.003;0.006
1;0.104816282574622;0;0,451;1335;0.424;0.478
2;0.120571218568458;0.00013029483356782;0,5055;1335;0.478;0.533
16;0.111700301912009;0.000123887248220657;0,548;1335;0.533;0.563
2;0.0957582833104999;0.000132836004601666;2,1895;1335;2.088;2.291
160;0.0757352289150086;6.03061864969045e-05;0;1336;0;0
31;0.076183311937965;9.72451578906966e-05;0,0045;1336;0.003;0.006
1;0.0777951348257151;0;0,451;1336;0.424;0.478
2;0.0789588028596364;0.000101991028639862;0,5055;1336;0.478;0.533
16;0.0806487365751978;6.71492097288869e-05;0,548;1336;0.533;0.563
2;0.0777609433149296;4.08206146136105e-06;2,1895;1336;2.088;2.291
351;9.11823811265029;0.0205866543969126;0;1337;0;0
39;9.23830848478019;0.0294039549477802;0,399;1337;0.374;0.424
180;9.31917577250272;0.0335393131797393;0,451;1337;0.424;0.478
46;9.22429987450925;0.0185946000665532;0,5055;1337;0.478;0.533
95;9.14220698927665;0.0507816987507739;0,548;1337;0.533;0.563
65;9.03819001747536;0.0249843646691185;0,6485;1337;0.621;0.676
1;9.22380713129809;0;0,768;1337;0.761;0.775
1;9.02535785539719;0;1,966;1337;1.915;2.017
4;9.05537306018892;0.014851735377565;2,1895;1337;2.088;2.291
351;0.122404513922469;7.03575747272342e-05;0;1338;0;0
39;0.132678278355413;0.000117578696333504;0,399;1338;0.374;0.424
180;0.137115368565689;0.000116909743511954;0,451;1338;0.424;0.478
46;0.128458924844357;6.54605297629235e-05;0,5055;1338;0.478;0.533
95;0.125328144093642;0.000290185247398137;0,548;1338;0.533;0.563
65;0.114768079241376;8.81608180136721e-05;0,6485;1338;0.621;0.676
1;0.124206498384785;0;0,768;1338;0.761;0.775
1;0.119883546559136;0;1,966;1338;1.915;2.017
4;0.124755800241136;8.10135083854019e-05;2,1895;1338;2.088;2.291
351;0.0951569197471723;5.15725298154752e-05;0;1339;0;0
39;0.0995857342904828;7.8519168946928e-05;0,399;1339;0.374;0.424
180;0.104608519640027;0.000100690938494461;0,451;1339;0.424;0.478
46;0.0998900129698479;6.05845650281328e-05;0,5055;1339;0.478;0.533
95;0.0973725566087782;0.000183552149272693;0,548;1339;0.533;0.563
65;0.0933186691083914;5.90152099407878e-05;0,6485;1339;0.621;0.676
1;0.100083271364925;0;0,768;1339;0.761;0.775
1;0.0885227497744293;0;1,966;1339;1.915;2.017
4;0.0923315654904466;6.96278147617957e-05;2,1895;1339;2.088;2.291
220;10.7496589757357;0.153237990619662;0;1340;0;0
14;10.9296146743812;0.0483390393519159;0,399;1340;0.374;0.424
91;10.9081891749002;0.112940705449694;0,451;1340;0.424;0.478
36;10.7553730645397;0.0620078664435657;0,5055;1340;0.478;0.533
60;10.7913225522301;0.091128113200878;0,548;1340;0.533;0.563
49;10.5611417094697;0.162059417699056;0,6485;1340;0.621;0.676
1;11.1072332293804;0;0,768;1340;0.761;0.775
1;10.6201744957745;0;1,966;1340;1.915;2.017
1;10.3075720903453;0;2,1895;1340;2.088;2.291
220;0.276696408405376;0.00250465389675375;0;1341;0;0
14;0.30043517627132;0.00139672259498149;0,399;1341;0.374;0.424
91;0.296063696906944;0.00194453991019068;0,451;1341;0.424;0.478
36;0.26713814899817;0.000937462915607507;0,5055;1341;0.478;0.533
60;0.277938127858072;0.00156126122681073;0,548;1341;0.533;0.563
49;0.249314466960962;0.00220037820406881;0,6485;1341;0.621;0.676
1;0.312046250115295;0;0,768;1341;0.761;0.775
1;0.257250287033988;0;1,966;1341;1.915;2.017
1;0.199602780536246;0;2,1895;1341;2.088;2.291
220;0.230792167768556;0.00180596744298964;0;1342;0;0
14;0.243771330477368;0.00116691345497581;0,399;1342;0.374;0.424
91;0.249395906014855;0.00170564500443789;0,451;1342;0.424;0.478
